COMMAND     PID          USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
Tunnel    41723 danilrybalkin   41u  IPv4 0xdb4502a8281812d0      0t0  TCP 127.0.0.1:63892->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   42u  IPv4 0xd6eb315365252a91      0t0  TCP 127.0.0.1:60825->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   43u  IPv4 0x3a68730bf20253f6      0t0  TCP 127.0.0.1:51582->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   44u  IPv4 0x2eae2cfa380171f3      0t0  TCP 127.0.0.1:10808->127.0.0.1:63892 (ESTABLISHED)
Tunnel    41723 danilrybalkin   46u  IPv4 0xf2015b08544b8fcd      0t0  TCP 127.0.0.1:63894->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   47u  IPv4 0x8837b7d23f9911cd      0t0  TCP 127.0.0.1:10808->127.0.0.1:63856 (ESTABLISHED)
Tunnel    41723 danilrybalkin   48u  IPv4 0x97f21e4159d0287d      0t0  TCP 127.0.0.1:63865->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   49u  IPv4 0x490ceeba94f7ef45      0t0  TCP 127.0.0.1:10808->127.0.0.1:63894 (ESTABLISHED)
Tunnel    41723 danilrybalkin   51u  IPv4 0x8a353a0ee9acf00a      0t0  TCP 127.0.0.1:10808->127.0.0.1:60825 (ESTABLISHED)
Tunnel    41723 danilrybalkin   52u  IPv4 0x630201915f3a5f01      0t0  TCP 127.0.0.1:10808->127.0.0.1:63865 (ESTABLISHED)
Tunnel    41723 danilrybalkin   53u  IPv4  0x6de2527ed69b1fe      0t0  TCP 127.0.0.1:58408->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   54u  IPv4 0x283ac3ca1aeb676a      0t0  TCP 127.0.0.1:10808->127.0.0.1:63614 (ESTABLISHED)
Tunnel    41723 danilrybalkin   55u  IPv4 0xb41f84a79aac9478      0t0  TCP 127.0.0.1:63039->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   56u  IPv4 0x291cf5238e66184a      0t0  TCP 127.0.0.1:63162->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   57u  IPv4 0x515487ed1ff94936      0t0  TCP 127.0.0.1:10808->127.0.0.1:63162 (ESTABLISHED)
Tunnel    41723 danilrybalkin   58u  IPv4 0x822acd0123d810c7      0t0  TCP 127.0.0.1:10808->127.0.0.1:58408 (ESTABLISHED)
Tunnel    41723 danilrybalkin   59u  IPv4 0x60b874c6aa1b2218      0t0  TCP 127.0.0.1:63958->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   60u  IPv4 0x6dc30670057f4fd4      0t0  TCP 127.0.0.1:63607->127.0.0.1:10808 (ESTABLISHED)
Tunnel    41723 danilrybalkin   61u  IPv4 0x5deed91989ae2d99      0t0  TCP 127.0.0.1:63258->127.0.0.1:10808 (ESTABLISHED)
